MMSI,Time,SOG,Longitude,Latitude,COG
714,19900101_052419,15.2,-14.0565617,8.26323,114.1
3,19900101_052419,15,-14.1668,8.29696667,114.2
3,19900101_052426,15,-14.1662333,8.2968,113.9
4,19900101_052429,14.3,-13.8813167,8.28066667,277.6
3,19900101_052431,15,-14.16565,8.29663333,113.8
596,19900101_052434,7.2,-14.0047333,8.23803667,111.5
4,19900101_052435,14.3,-13.8819167,8.28071667,277.7
1,19900101_052437,0,-14.6128617,8.36801333,0
3,19900101_052437,15,-14.1650667,8.29645,113.9
5,19900101_052443,8.4,-13.9367033,8.22583,104.7
3,19900101_052443,15,-14.1645,8.29628333,114
471,19900101_052444,0,-14.6131733,8.36854833,243.7
3,19900101_052449,15,-14.1639167,8.29611667,114.1
5,19900101_052452,8.4,-13.936195,8.225735,104.5
4,19900101_052453,14.3,-13.8836833,8.2809,277.9
3,19900101_052456,15,-14.1633667,8.29595,114.2
1,19900101_052458,0,-14.6128483,8.36798167,5.8
4,19900101_052500,14.3,-13.8842833,8.28095,278
3,19900101_052502,15,-14.1627833,8.29576667,114.3
4,19900101_052506,14.3,-13.8849667,8.28101667,278.1
714,19900101_052508,15.1,-14.05195,8.261845,114.7
3,19900101_052508,15,-14.1622,8.2956,114.5
5,19900101_052513,8.4,-13.935005,8.22553333,104.7
3,19900101_052514,15,-14.16165,8.29543333,114.7
596,19900101_052514,7.2,-14.0029317,8.23755,111.7
4,19900101_052518,14.3,-13.8860333,8.28113333,278.2
1,19900101_052518,0,-14.6128333,8.36797,6.4
714,19900101_052520,15.1,-14.0507067,8.26146,115
3,19900101_052520,15,-14.1610833,8.29526667,114.7
4,19900101_052523,14.3,-13.8866167,8.28118333,278.3
3,19900101_052526,15.1,-14.1605167,8.29508333,114.8
4,19900101_052529,14.3,-13.8872,8.28125,278.5
3,19900101_052532,15,-14.15995,8.2949,115
5,19900101_052534,8.5,-13.9338667,8.22534,103.5
596,19900101_052535,7.4,-14.0019067,8.23728667,111.5
714,19900101_052543,15.2,-14.0484983,8.26078333,114.4
1,19900101_052549,0,-14.6128317,8.36801833,359.5
3,19900101_052550,15.1,-14.15825,8.29438333,114.5
5,19900101_052553,8.4,-13.932795,8.22516333,104.2
596,19900101_052555,7.5,-14.0009317,8.23703333,111.1
714,19900101_052555,15.2,-14.0473367,8.260435,113.9
1,19900101_052559,0,-14.61281,8.36802667,351.8
3,19900101_052602,15,-14.1571,8.29405,114.4
5,19900101_052613,8.5,-13.9316567,8.22496667,104.3
596,19900101_052614,7.6,-13.9999967,8.23680167,110
1,19900101_052618,0,-14.6128433,8.368,350.8
2,19900101_052619,11.3,-13.9747167,8.24061667,116
714,19900101_052620,15.2,-14.04492,8.25971667,113.9
596,19900101_052654,7.6,-13.9979917,8.23626167,113.7
714,19900101_052655,15.3,-14.0415333,8.25872333,113.5
3,19900101_052701,15,-14.1514,8.29233333,114.2
4,19900101_052706,14.3,-13.8967167,8.28226667,280.6
596,19900101_052714,7.7,-13.99707,8.23598833,114.7
4,19900101_052718,14.3,-13.8979,8.28241667,281.3
1,19900101_052718,0,-14.61285,8.36801833,4.4
714,19900101_052719,15.3,-14.039105,8.25802333,113
3,19900101_052737,15,-14.1479667,8.29128333,114.5
3,19900101_052838,14.9,-14.1423167,8.28958333,114.5
714,19900101_052844,15.2,-14.0311067,8.25558333,116.1
3,19900101_052902,14.9,-14.1400833,8.28891667,114.5
2,19900101_052919,11.2,-13.9620833,8.23648333,116
1,19900101_052919,0,-14.6128333,8.36801,0.7
3,19900101_054820,14.5,-14.03205,8.25736667,113.8
3,19900101_054820,14.5,-14.03205,8.25736667,113.8
3,19900101_055621,14.3,-13.9881667,8.2446,113.9
5,19900101_055628,8.7,-13.8242367,8.218085,89.4
714,19900101_055714,16.5,-13.8628033,8.22528,77.2
2,19900101_055715,11.4,-13.8363167,8.22321667,89
1,19900101_055733,0,-14.6128167,8.36798167,9.7
4,19900101_055748,14.3,-14.0673333,8.32708333,292.4
2,19900101_055754,11.4,-13.8333,8.22323333,89
1,19900101_055833,0,-14.6128283,8.36794167,1.2
963,19900101_055841,19.4,-13.903615,8.2902,277.8
5,19900101_055848,8.7,-13.8157067,8.21818667,88.2
4,19900101_055848,14.3,-14.0728333,8.32856667,291.6
2,19900101_055954,11.5,-13.824,8.22318333,88
5,19900101_060108,8.8,-13.8071817,8.21849167,84.5
4,19900101_065919,13.9,-14.4045333,8.41561667,290.8
4,19900101_070007,14,-14.4090333,8.41673333,290.3
4,19900101_070012,14,-14.4095833,8.41688333,290.4
272,19900101_070017,0,-14.6124233,8.367055,348.6
4,19900101_070031,14,-14.4112,8.41728333,290.6
963,19900101_070035,19.1,-14.3622883,8.41671667,294.9
1,19900101_070039,0,-14.6128683,8.36792,173.1
471,19900101_070047,0,-14.6131783,8.36854,188.7
963,19900101_070048,19.1,-14.3638367,8.41721,295.3
4,19900101_070107,14,-14.4144833,8.41808333,291
1,19900101_070110,0,-14.6128533,8.36797,209.2
963,19900101_070111,19,-14.3664583,8.41806,295.7
4,19900101_070112,14,-14.4150167,8.41823333,291.1
963,19900101_070118,19.1,-14.3674167,8.41835,295.4
4,19900101_070118,14,-14.4155667,8.41836667,291.1
963,19900101_070136,19,-14.36932,8.41896667,295.2
963,19900101_070148,19.1,-14.3708933,8.419455,294.8
963,19900101_070212,19,-14.3736717,8.42028833,294.2
4,19900101_070237,14.1,-14.4227833,8.42023333,291.6
963,19900101_070248,19,-14.3781333,8.42161667,293.6
963,19900101_070300,19,-14.3794717,8.42199833,293.6
963,19900101_070336,19,-14.38408,8.42332833,293.6
4,19900101_070354,14.1,-14.4297333,8.42215,291.7
963,19900101_070418,19,-14.3891717,8.42479833,293.8
963,19900101_070436,19,-14.39135,8.42543333,293.9
4,19900101_070454,14.2,-14.4352,8.4236,291.4
4,19900101_070525,14.2,-14.4380667,8.42431667,290.9
963,19900101_070536,19,-14.3986083,8.427565,293.7
1,19900101_070540,0,-14.6128517,8.36797,355.1
963,19900101_070547,19,-14.3998167,8.42791833,293.7
963,19900101_070559,19,-14.4013933,8.42838167,294.1
1,19900101_070620,0,-14.61284,8.36797167,2.6
1,19900101_070659,0,-14.612845,8.36801167,351
963,19900101_070700,19.1,-14.4086483,8.43053667,293.6
963,19900101_070712,19.1,-14.4099767,8.43092833,293.4
1,19900101_070839,0,-14.6128533,8.36799833,353.3
4,19900101_070907,14.2,-14.4582833,8.4296,293.4
1,19900101_070920,0,-14.61286,8.36801667,350.3
4,19900101_070955,14.1,-14.4626333,8.43088333,293.8
963,19900101_071000,19.1,-14.4307283,8.436775,293.7
4,19900101_071001,14.2,-14.4631667,8.43105,293.9
1,19900101_071011,0,-14.612825,8.368,350.1
4,19900101_072147,14.4,-14.5283833,8.44991667,294.2
4,19900101_072147,14.4,-14.5283833,8.44991667,294.2
4,19900101_072200,14.4,-14.5295667,8.45026667,293.8
4,19900101_072200,14.4,-14.5295667,8.45026667,293.8
4,19900101_072312,14.4,-14.5361833,8.45216667,293.2
4,19900101_072312,14.4,-14.5361833,8.45216667,293.2
1,19900101_072333,0,-14.6128633,8.368045,20.3
1,19900101_072333,0,-14.6128633,8.368045,20.3
963,19900101_072353,19.2,-14.5338067,8.466505,292.3
963,19900101_072353,19.2,-14.5338067,8.466505,292.3
1,19900101_072413,0,-14.6128533,8.36801,9.5
1,19900101_072413,0,-14.6128533,8.36801,9.5
1,19900101_072533,0,-14.6128517,8.36802,16
1,19900101_072533,0,-14.6128517,8.36802,16
1,19900101_072633,0,-14.612875,8.368035,26.3
1,19900101_072633,0,-14.612875,8.368035,26.3
4,19900101_072636,14.3,-14.5548,8.45761667,294
4,19900101_072636,14.3,-14.5548,8.45761667,294
4,19900101_072648,14.1,-14.5558667,8.45793333,293.7
4,19900101_072648,14.1,-14.5558667,8.45793333,293.7
963,19900101_072718,19.2,-14.5589217,8.47354667,293.3
4,19900101_072724,14.1,-14.5590167,8.45886667,294.2
1,19900101_072733,0,-14.612835,8.36799167,21.9
4,19900101_073012,14.1,-14.5742,8.46328333,293.7
4,19900101_073112,14,-14.5795667,8.46486667,293.7
1,19900101_073133,0,-14.612865,8.36800833,14.2
963,19900101_073242,19.1,-14.59889,8.48424833,292.8
963,19900101_073430,19,-14.6121383,8.48787333,291.8
4,19900101_073437,14,-14.5977,8.47026667,294.3
1,19900101_073514,0,-14.6128567,8.368005,17.3
963,19900101_073530,19,-14.6193783,8.48982167,291.8
4,19900101_073712,14.1,-14.61155,8.47441667,294.6
1,19900101_080511,0,-14.61288,8.36804167,17.4
1,19900101_082833,0,-14.6128733,8.36800167,346.4
1,19900101_082854,0,-14.6128717,8.368005,342.4
905,19900101_082901,14.2,-14.0248,8.31668333,298.4
4,19900101_082906,13.8,-14.9007333,8.50893333,270.7
1,19900101_082914,0,-14.6128783,8.36799667,344.1
4,19900101_082918,13.9,-14.9018833,8.50895,271
905,19900101_082924,14.3,-14.0270833,8.31741667,298.9
4,19900101_082930,13.8,-14.90305,8.50896667,271.2
1,19900101_082933,0,-14.6128767,8.36799,343.6
905,19900101_082936,14.1,-14.02825,8.31778333,298.1
4,19900101_082945,13.9,-14.9044,8.509,271.6
905,19900101_083000,14.1,-14.03045,8.31848333,298.6
4,19900101_083006,13.8,-14.9064167,8.50905,272.2
905,19900101_083011,14.1,-14.0315,8.31881667,297.8
1,19900101_083014,0,-14.6128433,8.36796833,350.4
905,19900101_083023,14.2,-14.03265,8.31918333,297.8
4,19900101_083030,13.8,-14.9087167,8.50908333,271.9
1,19900101_083033,0,-14.61285,8.36799,337.6
905,19900101_083035,14.2,-14.0337667,8.31953333,298.2
4,19900101_083044,13.7,-14.91025,8.50911667,271.8
1,19900101_083114,0,-14.6128533,8.36799833,348.4
905,19900101_083123,14.1,-14.03835,8.321,297.7
1,19900101_083133,0,-14.612865,8.36803333,336.2
905,19900101_083136,14,-14.0395,8.32138333,297.8
4,19900101_083144,13.9,-14.916,8.50921667,271.2
1,19900101_083153,0,-14.6128667,8.36803833,341.3
1,19900101_083213,0,-14.61289,8.36802833,338.9
905,19900101_083223,14.3,-14.0442,8.32286667,297.3
905,19900101_083236,14.1,-14.0452333,8.32318333,297.5
905,19900101_083247,13.9,-14.0464,8.32355,296.5
1,19900101_083253,0,-14.6128533,8.367985,337.8
1,19900101_083314,0,-14.6129133,8.36803167,345.4
905,19900101_083324,14.4,-14.0498,8.32453333,294.9
4,19900101_083326,13.5,-14.9255667,8.50931667,269.9
1,19900101_083334,0,-14.6129033,8.36800833,338.2
4,19900101_083335,13.5,-14.9265167,8.50931667,269.3
4,19900101_083345,13.6,-14.9273667,8.5093,269.5
905,19900101_083346,14,-14.0518167,8.32511667,295.2
905,19900101_083348,13.9,-14.0522,8.32523333,295.2
1,19900101_083354,0,-14.6128733,8.36798667,338.7
905,19900101_083359,13.8,-14.0531833,8.32551667,294.4
905,19900101_083400,13.8,-14.0533833,8.32556667,294.4
4,19900101_083406,13.6,-14.92935,8.50928333,269.6
905,19900101_083412,14,-14.05445,8.32588333,295.6
1,19900101_083414,0,-14.612895,8.367995,335.5
4,19900101_083416,13.4,-14.9302833,8.50926667,269.4
4,19900101_083426,13.4,-14.9312,8.50928333,269.6
1,19900101_083434,0,-14.612835,8.36796833,342.7
4,19900101_083445,13.4,-14.9328833,8.50925,269.4
905,19900101_083445,14.4,-14.05775,8.32685,294.7
1,19900101_083453,0,-14.61285,8.36794333,344.6
905,19900101_083458,14.1,-14.05905,8.3272,294.5
905,19900101_083500,14.1,-14.05905,8.3272,294.5
4,19900101_083506,13.3,-14.9349167,8.50926667,270.1
905,19900101_083509,14.2,-14.0599,8.32745,294.5
905,19900101_083511,14.1,-14.0602,8.32753333,294.5
1,19900101_083513,0,-14.6129183,8.368,339.7
4,19900101_083515,13.3,-14.93575,8.50926667,269.8
4,19900101_083626,13.4,-14.9423833,8.50931667,271
1,19900101_083634,0,-14.61282,8.36796333,338.4
4,19900101_083636,13.4,-14.9432333,8.50931667,271.1
1,19900101_083644,0,-14.612855,8.36799833,342
4,19900101_083645,13.4,-14.9441667,8.50933333,271.3
905,19900101_083648,14.3,-14.06945,8.33025,295.5
1,19900101_083654,0,-14.61289,8.36801167,341.4
905,19900101_083659,14.3,-14.0706,8.33058333,294.8
905,19900101_083700,14.3,-14.0706,8.33058333,294.8
905,19900101_083710,14.3,-14.0715667,8.33088333,295.2
1,19900101_083714,0,-14.6128667,8.368,335.8
4,19900101_083716,13.5,-14.9469833,8.50938333,271.1
905,19900101_083722,14.2,-14.0727167,8.33121667,295.6
905,19900101_083724,14.1,-14.0730167,8.33131667,295.1
4,19900101_083725,13.5,-14.9479333,8.50938333,270.7
4,19900101_083736,13.6,-14.9488667,8.50938333,270.7
1,19900101_083744,0,-14.6128783,8.36797667,336.2
4,19900101_083746,13.6,-14.9498,8.5094,270.6
1,19900101_083754,0,-14.6128833,8.36799,336.7
905,19900101_083800,14.1,-14.0765333,8.33236667,295.5
1,19900101_083813,0,-14.6128617,8.36796,342.7
4,19900101_083825,13.5,-14.9535833,8.50945,271
4,19900101_083845,13.7,-14.9555833,8.50946667,271.1
905,19900101_083848,14.4,-14.08105,8.33365,296.4
4,19900101_083906,13.6,-14.9574667,8.5095,271.3
1,19900101_083914,0,-14.6128033,8.36797833,340.6
4,19900101_083925,13.6,-14.9592667,8.50953333,271.1
905,19900101_083948,14.5,-14.0870333,8.33545,295.4
4,19900101_084005,13.6,-14.9631333,8.50956667,270.6
1,19900101_084014,0,-14.6128517,8.36800167,345
4,19900101_084024,13.5,-14.9649333,8.50955,270.4
4,19900101_084105,13.4,-14.9687833,8.50958333,271.1
1,19900101_084114,0,-14.6128583,8.36800167,341.8
4,19900101_084125,13.4,-14.9705667,8.50963333,271.1
4,19900101_084145,13.5,-14.9724333,8.50968333,271.6
4,19900101_084156,13.5,-14.9734667,8.50968333,271.4
4,19900101_084205,13.5,-14.9743167,8.50968333,271.9
4,19900101_084225,13.4,-14.9762,8.50975,271.7
4,19900101_084245,13.6,-14.9781,8.50973333,270.9
607,19900101_084258,13.3,-13.80372,8.27983667,278.9
4,19900101_084305,13.6,-14.98,8.50975,270.7
4,19900101_084325,13.6,-14.9818833,8.50976667,270.3
4,19900101_084335,13.6,-14.9829333,8.50976667,270.5
4,19900101_084345,13.6,-14.9838,8.50976667,270.5
607,19900101_084705,13.1,-13.825285,8.282455,274
700,19900101_085937,17.6,-13.89725,8.29468333,275
700,19900101_085937,17.6,-13.89725,8.29468333,275
607,19900101_085955,13.4,-13.8967283,8.28696,274.6
607,19900101_085955,13.4,-13.8967283,8.28696,274.6
272,19900101_090013,0,-14.6124267,8.36712,7.3
272,19900101_090013,0,-14.6124267,8.36712,7.3
607,19900101_090036,13.4,-13.9005067,8.28719833,274.9
607,19900101_090036,13.4,-13.9005067,8.28719833,274.9
471,19900101_090038,0,-14.6131783,8.36855833,325.7
471,19900101_090038,0,-14.6131783,8.36855833,325.7
700,19900101_090101,17.6,-13.9074833,8.29531667,275
700,19900101_090101,17.6,-13.9074833,8.29531667,275
1,19900101_090112,0,-14.61287,8.367975,355.1
1,19900101_090112,0,-14.61287,8.367975,355.1
905,19900101_090146,14.7,-14.21425,8.3732,293.4
905,19900101_090146,14.7,-14.21425,8.3732,293.4
700,19900101_090149,17.5,-13.9133167,8.29566667,275
700,19900101_090149,17.5,-13.9133167,8.29566667,275
700,19900101_090213,17.5,-13.9162333,8.29585,275
700,19900101_090213,17.5,-13.9162333,8.29585,275
700,19900101_090225,17.5,-13.9176833,8.29593333,275
700,19900101_090225,17.5,-13.9176833,8.29593333,275
607,19900101_090236,13.3,-13.9116233,8.28757667,273.6
607,19900101_090236,13.3,-13.9116233,8.28757667,273.6
905,19900101_090258,14.9,-14.2214833,8.37516667,293.9
905,19900101_090258,14.9,-14.2214833,8.37516667,293.9
700,19900101_090301,17.5,-13.92205,8.29621667,275
700,19900101_090301,17.5,-13.92205,8.29621667,275
905,19900101_090659,14.7,-14.2452667,8.38165,294.1
607,19900101_090707,12.9,-13.93606,8.28986167,289.2
607,19900101_090708,12.9,-13.93606,8.28986167,289.2
700,19900101_090708,17.2,-13.9494,8.30025,292
700,19900101_090709,17.2,-13.9494,8.30025,292
607,19900101_090717,12.8,-13.936805,8.29005667,290.4
607,19900101_090727,12.8,-13.9376383,8.29025667,290.5
607,19900101_090727,12.8,-13.9376383,8.29025667,290.5
905,19900101_090734,14.7,-14.24885,8.38265,293.7
905,19900101_090735,14.7,-14.24885,8.38265,293.7
905,19900101_090747,14.7,-14.2501333,8.38301667,294.2
607,19900101_090756,12.8,-13.9400283,8.29087333,291.7
607,19900101_090757,12.8,-13.9400283,8.29087333,291.7
700,19900101_090809,17.2,-13.9573,8.30256667,293
905,19900101_090824,15.1,-14.2539333,8.38406667,293.1
905,19900101_090848,15.3,-14.2562333,8.3847,293.7
607,19900101_090857,12.8,-13.9448917,8.29213667,291.3
905,19900101_090948,15.3,-14.2621667,8.38633333,295.4
378,19900101_090953,18.7,-13.8023833,8.28848333,277
378,19900101_091053,18.7,-13.8099,8.28905,276
700,19900101_091145,17,-13.9808833,8.3092,292
378,19900101_091153,18.7,-13.8178167,8.28971667,276
700,19900101_091215,17,-13.9841667,8.3101,292
378,19900101_091234,18.6,-13.8228167,8.28996667,273
378,19900101_091247,18.6,-13.8243667,8.29001667,273
905,19900101_091258,15.1,-14.2813833,8.39163333,294.7
700,19900101_091326,16.9,-13.992,8.31228333,292
700,19900101_091339,16.9,-13.9933,8.31265,292
905,19900101_091347,15.2,-14.2863,8.39303333,294.9
378,19900101_094010,18.2,-14.0258333,8.32453333,295
607,19900101_094017,12.3,-14.0917267,8.33716,290.8
1,19900101_094053,0,-14.61284,8.36800167,358.3
378,19900101_094110,18.2,-14.0324667,8.32688333,299
905,19900101_094111,14.8,-14.4470167,8.43695,294.4
607,19900101_094136,12.3,-14.098145,8.33849,285.9
700,19900101_094139,16.7,-14.1763667,8.36301667,289
1,19900101_094232,0,-14.61283,8.36798667,358.7
607,19900101_094236,12.3,-14.10304,8.339505,288.1
244,19900101_094301,10.2,-14.9812617,8.97056167,233.8
378,19900101_094310,18.1,-14.0461167,8.33133333,289
700,19900101_094314,16.7,-14.1866833,8.36545,289
905,19900101_094324,14.4,-14.4598,8.4405,294.7
1,19900101_094432,0,-14.612835,8.36801167,16.5
607,19900101_094436,12.3,-14.1123817,8.342245,296.2
244,19900101_094441,10.1,-14.98707,8.96778333,233.8
378,19900101_094446,18,-14.0569,8.33415,293
905,19900101_094447,14.8,-14.4681667,8.44286667,293.7
700,19900101_094526,16.6,-14.2011167,8.3688,288
700,19900101_094726,16.8,-14.2143167,8.3718,289
607,19900101_094757,12.2,-14.1285867,8.34561833,279.4
272,19900101_094814,0,-14.6123867,8.36712833,15.2
378,19900101_094858,18,-14.0860667,8.34235,293
905,19900101_095011,15.2,-14.4999833,8.45188333,294.2
700,19900101_095027,16.6,-14.2339833,8.3766,290
905,19900101_095135,15.6,-14.5083333,8.45421667,293.9
1,19900101_100853,0,-14.6128333,8.36798167,349.4
1,19900101_100913,0,-14.6128583,8.36801167,340.4
1,19900101_100933,0,-14.6128233,8.36801167,349.3
378,19900101_100933,18.1,-14.2282,8.38326667,289
607,19900101_100937,12.6,-14.2311533,8.369975,287.1
1,19900101_100954,0,-14.6128067,8.36800333,347.6
700,19900101_101003,16.3,-14.36055,8.41041667,290
607,19900101_101018,12.6,-14.2345017,8.370675,287.5
1,19900101_101034,0,-14.6128383,8.36799333,343.5
378,19900101_101034,18,-14.2352167,8.38478333,286
607,19900101_101057,12.7,-14.2377717,8.371365,287.4
700,19900101_101103,16.3,-14.3669333,8.41201667,290
1,19900101_101133,0,-14.6128433,8.36799,346.3
378,19900101_101146,18,-14.24405,8.3866,287
905,19900101_101147,14.9,-14.6264833,8.48873333,297.6
1,19900101_101153,0,-14.61284,8.36799167,340.2
607,19900101_101157,12.7,-14.2427233,8.372435,287.4
700,19900101_101202,16.2,-14.3732667,8.41365,290
607,19900101_101238,12.7,-14.2462683,8.37317167,286.9
378,19900101_101246,18,-14.2511,8.38808333,287
905,19900101_101247,15.8,-14.6321167,8.49045,295.1
700,19900101_101251,16.3,-14.37835,8.41495,290
1,19900101_101253,0,-14.6128533,8.367995,2.7
607,19900101_101257,12.7,-14.24787,8.37350667,287.5
378,19900101_101258,18.1,-14.2525333,8.38838333,287
700,19900101_101302,16.4,-14.3796333,8.41526667,290
700,19900101_101310,16.3,-14.3802667,8.41543333,290
1,19900101_101314,0,-14.61283,8.36802167,8.6
700,19900101_101315,16.3,-14.3809,8.41558333,290
378,19900101_101316,18.1,-14.2549167,8.3889,287
607,19900101_101317,12.7,-14.24945,8.37388167,289.4
378,19900101_101323,18.1,-14.2554,8.389,287
607,19900101_101338,12.7,-14.251185,8.374315,290.4
378,19900101_101346,18.1,-14.2582667,8.38963333,288
905,19900101_101347,15.1,-14.6379,8.49221667,294.9
1,19900101_101354,0,-14.61286,8.36798833,5.1
607,19900101_101358,12.7,-14.25282,8.37476167,291.8
905,19900101_101400,15.6,-14.6390667,8.49255,295.1
700,19900101_101403,16.2,-14.3861833,8.41695,291
700,19900101_101410,16.2,-14.3868167,8.41711667,291
378,19900101_101411,18.2,-14.26115,8.39026667,288
700,19900101_101415,16.3,-14.3872333,8.41723333,291
700,19900101_101421,16.2,-14.3878667,8.41738333,291
607,19900101_101427,12.7,-14.2550983,8.37539833,292.7
378,19900101_101428,18.2,-14.2634167,8.39076667,288
1,19900101_101433,0,-14.6128767,8.367985,4.2
378,19900101_101434,18.2,-14.2639,8.39088333,288
607,19900101_101438,12.6,-14.2561433,8.37570167,293
1,19900101_101443,0,-14.612875,8.36798667,8.2
905,19900101_101446,15.2,-14.6436,8.49388333,295.6
378,19900101_101446,18.2,-14.2655667,8.39125,288
700,19900101_101451,16.3,-14.39105,8.4182,290
378,19900101_101452,18.2,-14.2665333,8.39145,288
607,19900101_101456,12.6,-14.2575867,8.37613167,293.8
700,19900101_101456,16.3,-14.3916833,8.41836667,290
378,19900101_101458,18.2,-14.267,8.39155,288
700,19900101_101503,16.3,-14.3923333,8.41851667,290
1,19900101_101504,0,-14.612875,8.36797833,8.3
700,19900101_101509,16.3,-14.3929667,8.41868333,290
700,19900101_101515,16.3,-14.3936,8.41885,290
700,19900101_101521,16.2,-14.3942333,8.41901667,290
1,19900101_101523,0,-14.6128533,8.36799833,7.1
700,19900101_101533,16.3,-14.3955,8.41933333,290
905,19900101_101533,15.6,-14.6481167,8.49528333,294.8
378,19900101_101534,18.2,-14.2713167,8.39248333,287
607,19900101_101538,12.7,-14.2609467,8.37716333,294.8
700,19900101_101539,16.2,-14.39615,8.41948333,290
1,19900101_101543,0,-14.612815,8.36802167,6.9
905,19900101_101546,15.5,-14.64925,8.49563333,295.1
378,19900101_101546,18.2,-14.2727667,8.3928,287
905,19900101_101547,15.4,-14.6494333,8.49568333,295
700,19900101_101551,16.3,-14.3974167,8.41981667,290
700,19900101_101556,16.2,-14.39805,8.41996667,290
700,19900101_101603,16.2,-14.3987,8.42013333,290
1,19900101_101604,0,-14.612825,8.368,5.4
378,19900101_101604,18.2,-14.2751667,8.39333333,288
607,19900101_101606,12.7,-14.2631933,8.37787,294.9
700,19900101_101608,16.3,-14.3993333,8.42028333,290
700,19900101_101615,16.3,-14.3999667,8.42045,290
700,19900101_101621,16.3,-14.4006,8.4206,290
700,19900101_101632,16.3,-14.4018833,8.42091667,290
1,19900101_101633,0,-14.6128533,8.36797833,11.8
905,19900101_101633,15.4,-14.6539833,8.49703333,293.4
378,19900101_101634,18.3,-14.2783833,8.39403333,288
607,19900101_101637,12.8,-14.2656783,8.37863333,294.6
700,19900101_101644,16.3,-14.4031667,8.42125,290
378,19900101_101646,18.3,-14.2798333,8.39435,288
905,19900101_101647,15.5,-14.65535,8.49741667,292.8
607,19900101_101647,12.8,-14.26649,8.37887333,294.2
700,19900101_101650,16.3,-14.4038,8.42141667,290
607,19900101_101656,12.8,-14.2671383,8.379065,293.9
378,19900101_101657,18.3,-14.28125,8.39466667,288
905,19900101_101659,15.3,-14.6565167,8.49773333,292
700,19900101_101703,16.3,-14.4050833,8.42173333,290
378,19900101_101704,18.3,-14.2822167,8.39488333,288
607,19900101_101706,12.7,-14.2681083,8.379345,293.5
378,19900101_101710,18.3,-14.2826833,8.39498333,288
607,19900101_101716,12.7,-14.2688417,8.37955333,293.1
378,19900101_101728,18.2,-14.2850833,8.3955,288
1,19900101_101733,0,-14.612865,8.36801333,8
378,19900101_101734,18.2,-14.28555,8.39561667,288
378,19900101_101746,18.2,-14.287,8.39593333,288
700,19900101_101750,16.3,-14.4102,8.423,290
378,19900101_101757,18.2,-14.2884333,8.39625,287
700,19900101_101803,16.4,-14.4114833,8.42331667,290
378,19900101_101805,18.2,-14.2894,8.39645,287
